# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed May 30 20:29:12 2018
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN pl_bmassj:      Planet Mass or M*sin(i)[Jupiter mass]
# COLUMN pl_bmassjerr1:  Planet Mass or M*sin(i)Upper Unc. [Jupiter mass]
# COLUMN pl_bmassjerr2:  Planet Mass or M*sin(i)Lower Unc. [Jupiter mass]
# COLUMN pl_bmassjlim:   Planet Mass or M*sin(i)Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter radii]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter radii]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_kepflag:     Kepler Field Flag
# COLUMN pl_nnotes:      Number of Notes
# COLUMN st_dist:        Distance [pc]
# COLUMN st_disterr1:    Distance Upper Unc. [pc]
# COLUMN st_disterr2:    Distance Lower Unc. [pc]
# COLUMN st_distlim:     Distance Limit Flag
# COLUMN st_optmag:      Optical Magnitude [mag]
# COLUMN st_optmagerr:   Optical Magnitude Unc. [mag]
# COLUMN st_optmaglim:   Optical Magnitude Limit Flag
# COLUMN st_optband:     Optical Magnitude Band
# COLUMN gaia_gmag:      G-band (Gaia) [mag]
# COLUMN gaia_gmagerr:   G-band (Gaia) Unc. [mag]
# COLUMN gaia_gmaglim:   G-band (Gaia) Limit Flag
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_tefferr1:    Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Effective Temperature Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN pl_massj:       Planet Mass [Jupiter mass]
# COLUMN pl_massjerr1:   Planet Mass Upper Unc. [Jupiter mass]
# COLUMN pl_massjerr2:   Planet Mass Lower Unc. [Jupiter mass]
# COLUMN pl_massjlim:    Planet Mass Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth radii]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth radii]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth radii]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_rads:        Planet Radius [Solar radii]
# COLUMN pl_radserr1:    Planet Radius Upper Unc. [Solar radii]
# COLUMN pl_radserr2:    Planet Radius Lower Unc. [Solar radii]
# COLUMN pl_radslim:     Planet Radius Limit Flag
# COLUMN pl_disc:        Year of Discovery
# COLUMN hd_name:        HD Name
# COLUMN hip_name:       HIP Name
#
loc_rowid,pl_name,pl_hostname,pl_letter,pl_discmethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_kepflag,pl_nnotes,st_dist,st_disterr1,st_disterr2,st_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_rads,pl_radserr1,pl_radserr2,pl_radslim,pl_disc,hd_name,hip_name
1452,Kepler-1259 b,Kepler-1259,b,Transit,0.66308526,0.00000087,-0.00000087,0,,,,,,,,,,,,,0.128,0.006,-0.009,0,,,,,1,1,704.00,36.77,-41.10,0,15.304,,0,Kepler-band,,,,5053.00,113.64,-67.62,0,0.80,0.04,-0.05,0,0.77,0.04,-0.04,0,,,,,1.430,0.070,-0.100,0,0.013,0.001,-0.001,0,2016,,
1453,Kepler-126 b,Kepler-126,b,Transit,10.49571100,0.00002800,-0.00002800,0,,,,,,,,,,,,,0.136,0.009,-0.009,0,,,,,1,1,,,,,10.500,,0,Kepler-band,,,,6239.00,94.00,-94.00,0,,,,,1.36,0.02,-0.02,0,,,,,1.520,0.100,-0.100,0,0.014,0.001,-0.001,0,2014,,
1454,Kepler-126 c,Kepler-126,c,Transit,21.86974100,0.00008200,-0.00008200,0,,,,,,,,,,,,,0.141,0.012,-0.012,0,,,,,1,1,,,,,10.500,,0,Kepler-band,,,,6239.00,94.00,-94.00,0,,,,,1.36,0.02,-0.02,0,,,,,1.580,0.130,-0.130,0,0.015,0.001,-0.001,0,2014,,
1455,Kepler-126 d,Kepler-126,d,Transit,100.28313400,0.00025500,-0.00025500,0,,,,,,,,,,,,,0.223,0.004,-0.004,0,,,,,1,1,,,,,10.500,,0,Kepler-band,,,,6239.00,94.00,-94.00,0,,,,,1.36,0.02,-0.02,0,,,,,2.500,0.050,-0.050,0,0.023,0.001,-0.001,0,2014,,
1456,Kepler-1260 b,Kepler-1260,b,Transit,19.11877530,0.00016870,-0.00016870,0,,,,,,,,,,,,,0.158,0.045,-0.025,0,,,,,1,1,1041.00,279.01,-140.86,0,14.838,,0,Kepler-band,,,,5961.00,131.56,-192.48,0,1.06,0.09,-0.08,0,1.08,0.30,-0.14,0,,,,,1.770,0.510,-0.280,0,0.016,0.005,-0.003,0,2016,,
1457,Kepler-1261 b,Kepler-1261,b,Transit,48.43089910,0.00031440,-0.00031440,0,,,,,,,,,,,,,0.202,0.012,-0.012,0,,,,,1,1,795.00,38.99,-35.52,0,15.605,,0,Kepler-band,,,,5006.00,48.34,-44.49,0,0.82,0.03,-0.04,0,0.77,0.03,-0.03,0,,,,,2.260,0.140,-0.140,0,0.021,0.001,-0.001,0,2016,,
1458,Kepler-1262 b,Kepler-1262,b,Transit,8.67900242,0.00003790,-0.00003790,0,,,,,,,,,,,,,0.162,0.029,-0.015,0,,,,,1,1,1153.00,201.88,-104.40,0,15.180,,0,Kepler-band,,,,5771.00,101.71,-103.42,0,0.99,0.06,-0.06,0,0.98,0.17,-0.09,0,,,,,1.820,0.320,-0.170,0,0.017,0.003,-0.002,0,2016,,
1459,Kepler-1263 b,Kepler-1263,b,Transit,4.55139967,0.00002128,-0.00002128,0,,,,,,,,,,,,,0.102,0.025,-0.011,0,,,,,1,1,695.00,45.01,-42.36,0,15.035,,0,Kepler-band,,,,5213.00,61.90,-74.37,0,0.84,0.04,-0.04,0,0.80,0.05,-0.05,0,,,,,1.140,0.280,-0.120,0,0.010,0.003,-0.001,0,2016,,
1460,Kepler-1264 b,Kepler-1264,b,Transit,0.96852602,0.00000233,-0.00000233,0,,,,,,,,,,,,,0.105,0.020,-0.011,0,,,,,1,1,814.00,153.30,-81.76,0,14.511,,0,Kepler-band,,,,5791.00,109.18,-145.15,0,0.99,0.06,-0.06,0,0.98,0.18,-0.09,0,,,,,1.180,0.220,-0.120,0,0.011,0.002,-0.001,0,2016,,
1461,Kepler-1265 b,Kepler-1265,b,Transit,6.49441289,0.00002951,-0.00002951,0,,,,,,,,,,,,,0.120,0.006,-0.012,0,,,,,1,1,581.00,27.29,-50.12,0,15.602,,0,Kepler-band,,,,4630.00,42.63,-41.20,0,0.71,0.04,-0.05,0,0.69,0.03,-0.05,0,,,,,1.350,0.070,-0.130,0,0.012,0.001,-0.001,0,2016,,
1462,Kepler-1266 b,Kepler-1266,b,Transit,28.47474800,0.00020450,-0.00020450,0,,,,,,,,,,,,,0.230,0.012,-0.041,0,,,,,1,1,901.00,49.38,-56.15,0,15.860,,0,Kepler-band,,,,5044.00,49.22,-50.99,0,0.80,0.04,-0.05,0,0.76,0.04,-0.05,0,,,,,2.580,0.130,-0.460,0,0.024,0.001,-0.004,0,2016,,
1463,Kepler-1267 b,Kepler-1267,b,Transit,13.03139450,0.00011040,-0.00011040,0,,,,,,,,,,,,,0.269,0.085,-0.040,0,,,,,1,1,1628.00,503.13,-251.88,0,15.829,,0,Kepler-band,,,,6096.00,119.67,-215.90,0,1.15,0.11,-0.11,0,1.20,0.37,-0.17,0,,,,,3.010,0.950,-0.450,0,0.028,0.009,-0.004,0,2016,,
1464,Kepler-1268 b,Kepler-1268,b,Transit,40.99039860,0.00048060,-0.00048060,0,,,,,,,,,,,,,0.181,0.060,-0.021,0,,,,,1,1,1406.00,450.45,-159.40,0,15.272,,0,Kepler-band,,,,5904.00,68.91,-79.21,0,1.06,0.08,-0.06,0,1.09,0.36,-0.12,0,,,,,2.030,0.670,-0.230,0,0.019,0.006,-0.002,0,2016,,
1465,Kepler-1269 b,Kepler-1269,b,Transit,37.33315360,0.00032100,-0.00032100,0,,,,,,,,,,,,,0.145,0.041,-0.016,0,,,,,1,1,710.00,192.20,-80.27,0,13.611,,0,Kepler-band,,,,5998.00,88.20,-88.22,0,1.10,0.09,-0.06,0,1.15,0.32,-0.12,0,,,,,1.630,0.460,-0.180,0,0.015,0.004,-0.002,0,2016,,
1466,Kepler-127 b,Kepler-127,b,Transit,14.43588900,0.00006300,-0.00006300,0,,,,,,,,,,,,,0.125,0.004,-0.004,0,,,,,1,1,,,,,11.485,,0,Kepler-band,,,,6106.00,106.00,-106.00,0,,,,,1.36,0.04,-0.04,0,,,,,1.400,0.050,-0.050,0,0.013,0.001,-0.001,0,2014,,
1467,Kepler-127 c,Kepler-127,c,Transit,29.39319500,0.00007300,-0.00007300,0,,,,,,,,,,,,,0.237,0.012,-0.012,0,,,,,1,1,,,,,11.485,,0,Kepler-band,,,,6106.00,106.00,-106.00,0,,,,,1.36,0.04,-0.04,0,,,,,2.660,0.140,-0.140,0,0.024,0.001,-0.001,0,2014,,
1468,Kepler-127 d,Kepler-127,d,Transit,48.63040800,0.00012800,-0.00012800,0,,,,,,,,,,,,,0.236,0.012,-0.012,0,,,,,1,1,,,,,11.485,,0,Kepler-band,,,,6106.00,106.00,-106.00,0,,,,,1.36,0.04,-0.04,0,,,,,2.640,0.140,-0.140,0,0.024,0.001,-0.001,0,2014,,
1469,Kepler-1270 b,Kepler-1270,b,Transit,6.03356196,0.00006551,-0.00006551,0,,,,,,,,,,,,,0.296,0.027,-0.058,0,,,,,1,1,1204.00,110.86,-145.11,0,13.274,,0,Kepler-band,,,,5047.00,40.17,-34.17,0,1.28,0.01,-0.11,0,3.38,0.30,-0.41,0,,,,,3.320,0.300,-0.650,0,0.030,0.003,-0.006,0,2016,,
1470,Kepler-1271 b,Kepler-1271,b,Transit,3.02559550,0.00001160,-0.00001160,0,,,,,,,,,,,,,0.132,0.021,-0.014,0,,,,,1,1,885.00,131.56,-95.94,0,13.925,,0,Kepler-band,,,,6143.00,81.37,-88.49,0,1.13,0.06,-0.06,0,1.23,0.18,-0.13,0,,,,,1.480,0.230,-0.160,0,0.014,0.002,-0.001,0,2016,,
1471,Kepler-1272 b,Kepler-1272,b,Transit,51.13097040,0.00045140,-0.00045140,0,,,,,,,,,,,,,0.211,0.062,-0.029,0,,,,,1,1,896.00,222.28,-96.23,0,14.423,,0,Kepler-band,,,,5926.00,95.26,-135.18,0,1.06,0.08,-0.07,0,1.09,0.27,-0.11,0,,,,,2.370,0.700,-0.320,0,0.022,0.006,-0.003,0,2016,,
1472,Kepler-1273 b,Kepler-1273,b,Transit,28.62565300,0.00021740,-0.00021740,0,,,,,,,,,,,,,0.222,0.029,-0.017,0,,,,,1,1,1355.00,171.94,-90.29,0,15.826,,0,Kepler-band,,,,5566.00,77.45,-71.25,0,0.94,0.04,-0.05,0,0.91,0.12,-0.06,0,,,,,2.490,0.330,-0.190,0,0.023,0.003,-0.002,0,2016,,
1473,Kepler-1274 b,Kepler-1274,b,Transit,6.98152703,0.00006708,-0.00006708,0,,,,,,,,,,,,,0.127,0.009,-0.009,0,,,,,1,1,609.00,38.18,-35.48,0,11.752,,0,Kepler-band,,,,6179.00,54.41,-48.15,0,1.45,0.06,-0.05,0,2.17,0.13,-0.12,0,,,,,1.420,0.100,-0.100,0,0.013,0.001,-0.001,0,2016,,
1474,Kepler-1275 b,Kepler-1275,b,Transit,3.65691115,0.00001583,-0.00001583,0,,,,,,,,,,,,,0.132,0.058,-0.024,0,,,,,1,1,1280.00,556.04,-237.51,0,14.460,,0,Kepler-band,,,,6296.00,202.94,-214.87,0,1.23,0.21,-0.13,0,1.36,0.60,-0.23,0,,,,,1.480,0.650,-0.270,0,0.014,0.006,-0.002,0,2016,,
1475,Kepler-1276 b,Kepler-1276,b,Transit,12.57200950,0.00010980,-0.00010980,0,,,,,,,,,,,,,0.106,0.018,-0.010,0,,,,,1,1,587.00,67.02,-48.86,0,12.885,,0,Kepler-band,,,,6188.00,65.25,-55.24,0,1.14,0.05,-0.05,0,1.21,0.14,-0.10,0,,,,,1.190,0.200,-0.110,0,0.011,0.002,-0.001,0,2016,,
1476,Kepler-1277 b,Kepler-1277,b,Transit,40.83650120,0.00045860,-0.00045860,0,,,,,,,,,,,,,0.143,0.026,-0.010,0,,,,,1,1,606.00,40.99,-34.03,0,14.050,,0,Kepler-band,,,,5578.00,82.21,-68.73,0,0.94,0.04,-0.04,0,0.92,0.06,-0.05,0,,,,,1.600,0.290,-0.110,0,0.015,0.003,-0.001,0,2016,,
1477,Kepler-1278 b,Kepler-1278,b,Transit,3.23941344,0.00001696,-0.00001696,0,,,,,,,,,,,,,0.090,0.028,-0.011,0,,,,,1,1,743.00,223.95,-88.31,0,13.658,,0,Kepler-band,,,,6074.00,112.24,-128.32,0,1.11,0.11,-0.08,0,1.16,0.35,-0.13,0,,,,,1.010,0.310,-0.120,0,0.009,0.003,-0.001,0,2016,,
1478,Kepler-1279 b,Kepler-1279,b,Transit,23.47741010,0.00024450,-0.00024450,0,,,,,,,,,,,,,0.156,0.079,-0.024,0,,,,,1,1,1017.00,454.91,-153.53,0,13.973,,0,Kepler-band,,,,6221.00,97.80,-110.44,0,1.21,0.19,-0.10,0,1.33,0.62,-0.19,0,,,,,1.750,0.880,-0.270,0,0.016,0.008,-0.002,0,2016,,
1479,Kepler-128 b,Kepler-128,b,Transit,15.09000000,,,0,,,,,,,,,0.09700,0.01900,-0.01900,0,0.101,0.003,-0.003,0,,,,,1,2,,,,,11.390,,0,Kepler-band,,,,6090.00,,,0,1.18,0.07,-0.07,0,1.66,0.04,-0.04,0,0.09700,0.01900,-0.01900,0,1.130,0.030,-0.030,0,0.010,0.000,0.000,0,2013,,
1480,Kepler-128 c,Kepler-128,c,Transit,22.80400000,,,0,,,,,,,,,0.10500,0.01000,-0.01000,0,0.101,0.003,-0.003,0,,,,,1,2,,,,,11.390,,0,Kepler-band,,,,6090.00,,,0,1.18,0.07,-0.07,0,1.66,0.04,-0.04,0,0.10500,0.01000,-0.01000,0,1.130,0.030,-0.030,0,0.010,0.000,0.000,0,2013,,
1481,Kepler-1280 b,Kepler-1280,b,Transit,66.55790570,0.00077050,-0.00077050,0,,,,,,,,,,,,,0.167,0.074,-0.026,0,,,,,1,1,1006.00,454.89,-161.67,0,14.074,,0,Kepler-band,,,,6227.00,121.69,-156.51,0,1.20,0.18,-0.11,0,1.32,0.59,-0.20,0,,,,,1.870,0.830,-0.290,0,0.017,0.008,-0.003,0,2016,,
1482,Kepler-1281 b,Kepler-1281,b,Transit,3.11602791,0.00001300,-0.00001300,0,,,,,,,,,,,,,0.146,0.012,-0.012,0,,,,,1,1,1090.00,80.37,-74.13,0,15.790,,0,Kepler-band,,,,5353.00,86.50,-93.58,0,0.87,0.04,-0.05,0,0.83,0.06,-0.05,0,,,,,1.640,0.130,-0.140,0,0.015,0.001,-0.001,0,2016,,
1483,Kepler-1282 b,Kepler-1282,b,Transit,2.13194651,0.00000687,-0.00000687,0,,,,,,,,,,,,,0.138,0.019,-0.010,0,,,,,1,1,1126.00,146.46,-77.10,0,15.545,,0,Kepler-band,,,,5504.00,81.08,-78.70,0,0.92,0.04,-0.04,0,0.89,0.11,-0.06,0,,,,,1.550,0.210,-0.110,0,0.014,0.002,-0.001,0,2016,,
1484,Kepler-1283 b,Kepler-1283,b,Transit,12.94609780,0.00021850,-0.00021850,0,,,,,,,,,,,,,0.170,0.070,-0.028,0,,,,,1,1,1452.00,589.71,-245.76,0,15.079,,0,Kepler-band,,,,6175.00,183.18,-233.53,0,1.16,0.18,-0.11,0,1.25,0.51,-0.20,0,,,,,1.910,0.790,-0.310,0,0.018,0.007,-0.003,0,2016,,
1485,Kepler-1284 b,Kepler-1284,b,Transit,0.66407381,0.00000148,-0.00000148,0,,,,,,,,,,,,,0.108,0.009,-0.006,0,,,,,1,1,852.00,50.63,-48.34,0,15.645,,0,Kepler-band,,,,5123.00,62.80,-83.53,0,0.84,0.04,-0.04,0,0.79,0.05,-0.04,0,,,,,1.210,0.100,-0.070,0,0.011,0.001,-0.001,0,2016,,
1486,Kepler-1285 b,Kepler-1285,b,Transit,14.79674580,0.00011340,-0.00011340,0,,,,,,,,,,,,,0.087,0.009,-0.007,0,,,,,1,1,364.00,35.76,-26.37,0,11.714,,0,Kepler-band,,,,6170.00,67.21,-62.49,0,1.20,0.05,-0.04,0,1.28,0.12,-0.09,0,,,,,0.970,0.100,-0.080,0,0.009,0.001,-0.001,0,2016,,
1487,Kepler-1286 b,Kepler-1286,b,Transit,11.25402929,0.00006812,-0.00006812,0,,,,,,,,,,,,,0.192,0.040,-0.016,0,,,,,1,1,1150.00,236.63,-90.45,0,15.166,,0,Kepler-band,,,,5753.00,74.56,-79.20,0,1.00,0.05,-0.05,0,0.98,0.20,-0.07,0,,,,,2.150,0.450,-0.180,0,0.020,0.004,-0.002,0,2016,,
1488,Kepler-1287 b,Kepler-1287,b,Transit,11.47685909,0.00006466,-0.00006466,0,,,,,,,,,,,,,0.137,0.020,-0.012,0,,,,,1,1,1027.00,142.05,-83.16,0,15.051,,0,Kepler-band,,,,5715.00,93.97,-83.95,0,0.96,0.05,-0.06,0,0.94,0.13,-0.07,0,,,,,1.540,0.220,-0.130,0,0.014,0.002,-0.001,0,2016,,
1489,Kepler-1288 b,Kepler-1288,b,Transit,2.76122421,0.00001477,-0.00001477,0,,,,,,,,,,,,,0.100,0.042,-0.014,0,,,,,1,1,715.00,288.80,-99.54,0,13.321,,0,Kepler-band,,,,6132.00,87.95,-135.79,0,1.20,0.16,-0.08,0,1.29,0.54,-0.17,0,,,,,1.120,0.470,-0.160,0,0.010,0.004,-0.001,0,2016,,
1490,Kepler-1289 b,Kepler-1289,b,Transit,7.99019627,0.00005083,-0.00005083,0,,,,,,,,,,,,,0.136,0.044,-0.021,0,,,,,1,1,1059.00,348.88,-180.86,0,14.590,,0,Kepler-band,,,,6080.00,245.65,-268.17,0,1.10,0.17,-0.10,0,1.17,0.37,-0.18,0,,,,,1.520,0.490,-0.240,0,0.014,0.004,-0.002,0,2016,,
1491,Kepler-129 b,Kepler-129,b,Transit,15.79186000,0.00006800,-0.00006800,0,,,,,,,,,,,,,0.211,0.019,-0.019,0,,,,,1,1,,,,,11.696,,0,Kepler-band,,,,5770.00,83.00,-83.00,0,1.18,,,0,1.64,0.05,-0.05,0,,,,,2.370,0.210,-0.210,0,0.022,0.002,-0.002,0,2014,,
1492,Kepler-129 c,Kepler-129,c,Transit,82.20017000,0.00068000,-0.00068000,0,,,,,,,,,,,,,0.227,0.009,-0.009,0,,,,,1,1,,,,,11.696,,0,Kepler-band,,,,5770.00,83.00,-83.00,0,1.18,,,0,1.64,0.05,-0.05,0,,,,,2.550,0.100,-0.100,0,0.023,0.001,-0.001,0,2014,,
1493,Kepler-1290 b,Kepler-1290,b,Transit,4.69500134,0.00004206,-0.00004206,0,,,,,,,,,,,,,0.127,0.019,-0.012,0,,,,,1,1,1321.00,181.91,-106.70,0,15.711,,0,Kepler-band,,,,5660.00,114.11,-108.37,0,0.95,0.05,-0.05,0,0.93,0.13,-0.07,0,,,,,1.420,0.210,-0.130,0,0.013,0.002,-0.001,0,2016,,
1494,Kepler-1291 b,Kepler-1291,b,Transit,8.63043276,0.00006731,-0.00006731,0,,,,,,,,,,,,,0.148,0.009,-0.016,0,,,,,1,1,982.00,65.31,-62.48,0,15.868,,0,Kepler-band,,,,5216.00,81.36,-108.14,0,0.84,0.04,-0.05,0,0.80,0.05,-0.05,0,,,,,1.660,0.100,-0.180,0,0.015,0.001,-0.002,0,2016,,
1495,Kepler-1292 b,Kepler-1292,b,Transit,3.27646405,0.00001548,-0.00001548,0,,,,,,,,,,,,,0.162,0.026,-0.012,0,,,,,1,1,1406.00,219.64,-102.48,0,15.934,,0,Kepler-band,,,,5556.00,63.00,-77.30,0,0.95,0.04,-0.04,0,0.93,0.14,-0.06,0,,,,,1.820,0.290,-0.140,0,0.017,0.003,-0.001,0,2016,,
1496,Kepler-1293 b,Kepler-1293,b,Transit,5.57654784,0.00004024,-0.00004024,0,,,,,,,,,,,,,0.087,0.037,-0.013,0,,,,,1,1,770.00,330.20,-115.71,0,13.383,,0,Kepler-band,,,,6241.00,114.93,-99.80,0,1.18,0.18,-0.10,0,1.28,0.55,-0.18,0,,,,,0.970,0.420,-0.150,0,0.009,0.004,-0.001,0,2016,,
1497,Kepler-1294 b,Kepler-1294,b,Transit,115.68622580,0.00084450,-0.00084450,0,,,,,,,,,,,,,0.285,0.048,-0.028,0,,,,,1,1,1120.00,189.56,-110.33,0,15.174,,0,Kepler-band,,,,5776.00,152.50,-137.20,0,0.99,0.07,-0.06,0,0.97,0.16,-0.09,0,,,,,3.190,0.540,-0.310,0,0.029,0.005,-0.003,0,2016,,
1498,Kepler-1295 b,Kepler-1295,b,Transit,3.81371974,0.00002278,-0.00002278,0,,,,,,,,,,,,,0.138,0.018,-0.011,0,,,,,1,1,1257.00,142.81,-84.25,0,15.890,,0,Kepler-band,,,,5486.00,70.55,-100.36,0,0.92,0.04,-0.04,0,0.89,0.10,-0.06,0,,,,,1.550,0.200,-0.120,0,0.014,0.002,-0.001,0,2016,,
1499,Kepler-1296 b,Kepler-1296,b,Transit,8.38398650,0.00008648,-0.00008648,0,,,,,,,,,,,,,0.081,0.008,-0.005,0,,,,,1,1,631.00,53.03,-41.84,0,14.667,,0,Kepler-band,,,,5359.00,98.28,-120.32,0,0.87,0.04,-0.05,0,0.83,0.07,-0.05,0,,,,,0.910,0.090,-0.060,0,0.008,0.001,-0.001,0,2016,,
1500,Kepler-1297 b,Kepler-1297,b,Transit,1.68189002,0.00001032,-0.00001032,0,,,,,,,,,,,,,0.087,0.014,-0.008,0,,,,,1,1,996.00,163.95,-94.27,0,14.812,,0,Kepler-band,,,,5818.00,83.49,-92.17,0,0.99,0.06,-0.06,0,0.99,0.16,-0.09,0,,,,,0.970,0.160,-0.090,0,0.009,0.001,-0.001,0,2016,,
1501,Kepler-1298 b,Kepler-1298,b,Transit,7.12811928,0.00004863,-0.00004863,0,,,,,,,,,,,,,0.117,0.021,-0.021,0,,,,,1,1,498.00,83.99,-84.79,0,11.392,,0,Kepler-band,,,,6339.00,64.06,-65.86,0,1.45,0.12,-0.11,0,2.00,0.34,-0.35,0,,,,,1.310,0.230,-0.230,0,0.012,0.002,-0.002,0,2016,,
1502,Kepler-1299 b,Kepler-1299,b,Transit,19.94008740,0.00014570,-0.00014570,0,,,,,,,,,,,,,0.266,0.059,-0.037,0,,,,,1,1,1352.00,196.30,-103.91,0,15.922,,0,Kepler-band,,,,5609.00,92.88,-129.75,0,0.94,0.04,-0.06,0,0.91,0.13,-0.06,0,,,,,2.980,0.660,-0.420,0,0.027,0.006,-0.004,0,2016,,
1503,Kepler-130 b,Kepler-130,b,Transit,8.45745800,0.00003900,-0.00003900,0,,,,,,,,,,,,,0.091,0.004,-0.004,0,,,,,1,1,,,,,11.529,,0,Kepler-band,,,,5884.00,75.00,-75.00,0,1.00,0.09,-0.10,0,1.13,0.03,-0.03,0,,,,,1.020,0.040,-0.040,0,0.009,0.000,0.000,0,2014,,
1504,Kepler-130 c,Kepler-130,c,Transit,27.50868000,0.00006000,-0.00007000,0,0.000000,0.070000,0.000000,0,89.340,0.660,-0.310,0,,,,,0.259,0.022,-0.022,0,,,,,1,1,,,,,11.529,,0,Kepler-band,,,,5884.00,75.00,-75.00,0,1.00,0.09,-0.10,0,1.13,0.03,-0.03,0,,,,,2.900,0.250,-0.250,0,0.027,0.002,-0.002,0,2014,,
1505,Kepler-130 d,Kepler-130,d,Transit,87.51790500,0.00074400,-0.00074400,0,,,,,,,,,,,,,0.146,0.014,-0.014,0,,,,,1,1,,,,,11.529,,0,Kepler-band,,,,5884.00,75.00,-75.00,0,1.00,0.09,-0.10,0,1.13,0.03,-0.03,0,,,,,1.640,0.160,-0.160,0,0.015,0.002,-0.002,0,2014,,
1506,Kepler-1300 b,Kepler-1300,b,Transit,22.24190920,0.00024540,-0.00024540,0,,,,,,,,,,,,,0.122,0.027,-0.028,0,,,,,1,1,757.00,163.10,-171.32,0,12.816,,0,Kepler-band,,,,6130.00,87.31,-108.91,0,1.29,0.16,-0.15,0,1.79,0.38,-0.41,0,,,,,1.370,0.300,-0.310,0,0.013,0.003,-0.003,0,2016,,
1507,Kepler-1301 b,Kepler-1301,b,Transit,9.08237046,0.00004331,-0.00004331,0,,,,,,,,,,,,,0.125,0.012,-0.007,0,,,,,1,1,816.00,50.86,-42.30,0,15.400,,0,Kepler-band,,,,5188.00,55.60,-60.07,0,0.85,0.04,-0.04,0,0.81,0.05,-0.04,0,,,,,1.400,0.130,-0.080,0,0.013,0.001,-0.001,0,2016,,
1508,Kepler-1302 b,Kepler-1302,b,Transit,8.83922659,0.00005866,-0.00005866,0,,,,,,,,,,,,,0.128,0.013,-0.008,0,,,,,1,1,727.00,53.32,-39.87,0,15.102,,0,Kepler-band,,,,5236.00,58.55,-77.09,0,0.86,0.04,-0.04,0,0.82,0.06,-0.04,0,,,,,1.430,0.150,-0.090,0,0.013,0.001,-0.001,0,2016,,
